modules,go.opentelemetry.io/collector,k8s.io/kubernetes,github.com/prometheus/prometheus
github.com/coreos/go-systemd/v22,-,v22.5.0,v22.5.0
golang.org/x/text,-,v0.21.0,v0.21.0
go.etcd.io/etcd/pkg/v3,-,v3.5.16,-
github.com/karrick/godirwalk,-,v1.17.0,-
github.com/hashicorp/go-immutable-radix,-,-,v1.3.1
github.com/liggitt/tabwriter,-,v0.0.0-20181228230101-89fcab3d43de,-
k8s.io/api,-,v0.0.0,v0.31.3
github.com/xiang90/probing,-,v0.0.0-20221125231312-a49e3df8f510,-
github.com/NYTimes/gziphandler,-,v1.1.1,-
github.com/prometheus/procfs,-,v0.15.1,v0.15.1
google.golang.org/genproto/googleapis/api,-,v0.0.0-20240826202546-f6391c0de4c7,v0.0.0-20241104194629-dd2ea8efbc28
github.com/munnerz/goautoneg,-,v0.0.0-20191010083416-a7dc8b61c822,v0.0.0-20191010083416-a7dc8b61c822
github.com/libopenstorage/openstorage,-,v1.0.0,-
k8s.io/kube-proxy,-,v0.0.0,-
github.com/felixge/httpsnoop,-,v1.0.4,v1.0.4
github.com/fsnotify/fsnotify,-,v1.7.0,v1.7.0
gopkg.in/natefinch/lumberjack.v2,-,v2.2.1,-
github.com/opencontainers/image-spec,-,-,v1.0.2
github.com/aws/aws-sdk-go,-,-,v1.55.5
go.etcd.io/etcd/raft/v3,-,v3.5.16,-
golang.org/x/oauth2,-,v0.23.0,v0.24.0
k8s.io/klog/v2,-,v2.130.1,v2.130.1
github.com/grpc-ecosystem/grpc-gateway,-,v1.16.0,v1.16.0
go.uber.org/atomic,-,-,v1.11.0
k8s.io/gengo/v2,-,v2.0.0-20240911193312-2b36238f13e9,-
github.com/rogpeppe/go-internal,v1.12.0,-,-
k8s.io/kube-scheduler,-,v0.0.0,-
gopkg.in/evanphx/json-patch.v4,-,v4.12.0,v4.12.0
k8s.io/cri-api,-,v0.0.0,-
sigs.k8s.io/knftables,-,v0.0.17,-
github.com/modern-go/reflect2,-,v1.0.2,v1.0.2
k8s.io/kube-aggregator,-,v0.0.0,-
github.com/digitalocean/godo,-,-,v1.131.0
github.com/go-logr/stdr,-,v1.2.2,v1.2.2
github.com/google/gofuzz,-,v1.2.0,v1.2.0
github.com/moby/spdystream,-,v0.5.0,-
gopkg.in/ini.v1,-,-,v1.67.0
